Niveles,obstaculos,saltos,simple
obstaculos 1 CB.json,0.6449429307,0.2781624824,0.3489897681
obstaculos 2 CB.json,0.8614268919,0.3344440116,0.2579789523
obstaculos 3 CB.json,0.8584048511,0.323176539,0.2372927355
Saltos 1 CB.json,0.4866238646,0.8955814155,0.4485139854
Saltos 2 CB.json,0.4169074837,0.707157119,0.5947623346
Saltos 3 CB.json,0.4750100624,0.925194934,0.479950042
simple 1 CB.json,0.1788955311,0.1414222312,0.8629425414
simple 2 CB.json,0.4697757316,0.2463749694,0.654970676
simple 3 CB.json,0.356119575,0.5116649966,0.7348038173
