Niveles,obstaculos,saltos,simple
obstaculos 1 CB.json,0.9374395172,0.1658966098,0.1095131083
obstaculos 2 CB.json,0.7558556943,0.1136049709,0.0907670726
obstaculos 3 CB.json,0.581277989,0.2650828477,0.0855319177
Saltos 1 CB.json,0.1239713648,0.8230062964,0.4110921539
Saltos 2 CB.json,0.3042137341,0.5501559371,0.418230577
Saltos 3 CB.json,0.2100452202,0.8695061907,0.4095165874
simple 1 CB.json,0.0582888621,0.3776667047,0.837070936
simple 2 CB.json,0.0897512463,0.4026490376,0.5632707173
simple 3 CB.json,0.1165300331,0.5456271403,0.6466076697
